article_id	title	main_topic	author	related_topics
452	Performance is a Key .NET Core Feature	Development	Maarten Balliauw Jeff Martin	Development|.NET|.NET Core Series|Microsoft|C#|.NET Languages
453	Coaching with Curiosity Using Clean Language and Agile	Culture & Methods	Ben Linders	Culture & Methods|Coaching|Coaching and Mentoring|Enterprise Architecture|Governance|Architecture|Agile|Game
454	Building Apps Leveraging Municipal Open Data and Low Code Solutions	Architecture & Design	Marc Sewtz Daniel Bryant	Development|Architecture & Design|Modeling|Oracle|Architecture|Modeling Tool
455	A Quick Guide to Implementing ATDD	Culture & Methods	Raj Subramanian Shane Hastie	Culture & Methods|TDD|Testing|Acceptance Testing
456	Guide to Digital Transformation - Part 2	Architecture & Design	Philippe Assouline Victor Grazi	Architecture & Design|Architecture Documentation|Architecture|TOGAF
457	Q&A on the Book Lost and Founder	Culture & Methods	Ben Linders	Culture & Methods|Management|InfoQ|Agile|Startup|Pivot|Book Review|Stories & Case Studies
458	Azure and .NET Core Are Beautiful Together	Development	Eric Boyd Jeff Martin	Development|.NET Core|.NET|.NET Core Series|Microsoft
459	Digital Transformation in Oil and Gas	Development	Md Tahir Rekha Kodali Daniel Bryant	Development|Architecture & Design|Culture & Methods|Business/IT Alignment|Enterprise Architecture|Augmented Reality|Architecture|Digital Transformation|IOT|Emerging Technologies
460	Monitoring SRE's Golden Signals	DevOps	Steve Mushero Manuel Pais	DevOps|Web Servers|Database|PHP|Java|Ruby|SQL|Web Development|Node.js|MySQL|Dynamic Languages|Relational Databases|Python
461	Q&A on the Book Kanban Maturity Model: Evolving Fit-for-Purpose Organizations	Culture & Methods	Ben Linders	Culture & Methods|CMM/CMMI|Agile Techniques|Continuous Improvement|Kanban|InfoQ|Agile|Lean|Maturity Models|Book Review|Adoption
462	Guide to Digital Transformation. Define, Price, and Plan a Digital Transformation (Part 1)	Architecture & Design	Philippe Assouline Victor Grazi	Architecture & Design|Architecture Documentation|Architecture|TOGAF
463	Get Ready for Cloud Native, Service-Meshed Java Enterprise	Development	Sebastian Daschner Ben Evans	Development|Architecture & Design|Containers|Java|Cloud Computing|Kubernetes
464	Culture and Diversity - Why They Belong Together in Every Tech Organization	Culture & Methods	Susan McIntosh Manny Segarra III Shane Hastie	Culture & Methods|Diversity in Teams|Teamwork|Distributed Team|Agile|Group Communication
465	Engineering Culture Revived: The Key to Digital Transformation	Culture & Methods	Ben Linders	Culture & Methods|Teamwork|Agile|Agile Manager|Stories & Case Studies
466	Key Takeaway Points and Lessons Learned from QCon London 2018	Development	Abel Avram Charles Humble	Development|QCon London 2018|Keynote|Architecture|QCon
467	Book Review: Building Blockchain Projects	Development	Ben Evans	Development|Architecture & Design|Blockchain|Ethereum|Architecture|InfoQ|Book Review|Emerging Technologies
468	Virtual Panel: Microservices Communication and Governance Using Service Mesh	Architecture & Design	Srini Penchikala	Development|Architecture & Design|DevOps|AI, ML & Data Engineering|Service Mesh|Architecture|Microservices
469	Q&A on the Book Agile Management	Culture & Methods	Ben Linders	Culture & Methods|Agile in the Enterprise|InfoQ|Customers & Requirements|Agile|Agile Manager|Adopting Agile|Book Review|Project Management|Planning
470	Agile Development & Remote Teams - Six Powerful Productivity Hacks You Should Know	Culture & Methods	Tanya Kumari Shane Hastie	Culture & Methods|Teamwork|Agile|Productivity
471	Polyglot Persistence Powering Microservices	Architecture & Design	Roopa Tangirala Thomas Betts	Architecture & Design|AI, ML & Data Engineering|NoSQL|Columnar Databases|BigTable|Database|Polyglot Persistence|Persistence|Cassandra
472	Architecturally Aligned Testing	Culture & Methods	Stefan Friese Shane Hastie	Development|Culture & Methods|DevOps|Testing|Unit Testing|Acceptance Testing|Automated testing|Automation|Software Testing
473	Decision Making in a Company with No Managers	Culture & Methods	Jan Zborowski Ben Linders	Culture & Methods|Teamwork|Management|Collaboration|Agile|Scrum|Self-organizing Team|Agile Manager
474	Understanding the Nuances of Servant Leadership	Culture & Methods	Vikram Raghuram Shane Hastie	Culture & Methods|Leadership|Agile
475	Patterns for Microservice Developer Workflows and Deployment: Q&A with Rafael Schloming	Development	Daniel Bryant Thomas Betts	Development|Communication|Teamwork|Distributed Team|Agile|Scrum|Productivity|Self-organizing Team
476	Mastering Blockchain: Book Review and Author Q&A	Development	Sergio De Simone	Development|Architecture & Design|Blockchain|Cryptography|Security|Architecture|InfoQ|Cryptocurrency|Book Review|Emerging Technologies
477	Six Tips for Running Scalable Workloads on Kubernetes	DevOps	Joel Speed Manuel Pais	DevOps|Fault Tolerance|Performance & Scalability|Containers|Infrastructure|Cloud Computing|Kubernetes
478	Q&A on the Book Company-Wide Agility with Beyond Budgeting, Open Space & Sociocracy	Culture & Methods	Ben Linders	Culture & Methods|Agile in the Enterprise|InfoQ|Scaling Agile|Agile|Adopting Agile|Book Review
479	Q&A on the Book The Age of Agile	Culture & Methods	Ben Linders	Culture & Methods|Teamwork|Continuous Improvement|Collaboration|Agile in the Enterprise|InfoQ|Scaling Agile|Agile|Feedback|Adopting Agile|Book Review
480	The Power of Doubt in Software Testing	Culture & Methods	Ben Linders	Development|Culture & Methods|Testing|learning|Software Testing
481	Web Development InfoQ Trends Report	Development	David Iffland Kevin Ball Charles Humble	Development|JavaScript|InfoQ Trends Report|InfoQ|Web Development|Dynamic Languages
482	Book Review: Attack of the 50 Foot Blockchain	Development	Ben Evans Daniel Bryant	Development|Architecture & Design|Blockchain|Ethereum|Architecture|InfoQ|Bitcoin|Book Review|Emerging Technologies
483	Virtual Reality Will Disrupt Agile Coaching and Training	Culture & Methods	Michael de la Maza Elena Vassilieva Shane Hastie	Culture & Methods|Coaching|Coaching and Mentoring|Training / Certification|Agile
484	Servlet and Reactive Stacks in Spring Framework 5	Development	Rossen Stoyanchev Victor Grazi	Development|Culture & Methods|DevOps|Reactive Extensions|Spring|Pivotal|Java
485	Beyond Copy-Pasting Methods: Navigating Complexity	Culture & Methods	Bernhard Sterchi Ben Linders	Culture & Methods|Teamwork|Methodologies|Collaboration|Agile in the Enterprise|Agile|Adopting Agile
486	A Comparison between Rust and Erlang	Development	Krishna Kumar Thokala Sergio De Simone	Development|Architecture & Design|Fault Tolerance|Performance|Erlang|Infrastructure|Scalability|Functional Programming
487	GDPR for Operations	DevOps	Jon Topper Manuel Pais	DevOps|Security|Database|Database Management|Logging|Data Access|Identity Management|Backup
488	Why Software Estimation Is More Important Now Than Ever	Culture & Methods	Larry Putnam Jr Shane Hastie	Culture & Methods|Value & Metrics|Agile Estimation|Agile
489	Four Priceless Tactics to Create Top-Tier Homegrown Talent	Culture & Methods	Lori Wagoner Shane Hastie	Culture & Methods|learning|Training / Certification
490	First Hand Account of SignalR Core	Development	Geovanny Alzate Sandoval Jeff Martin	Development|.NET|Microsoft
491	Holacracy for Humans	Culture & Methods	Sandy Mamoli Ben Linders	Culture & Methods|Agile Conferences|Enterprise Architecture|Governance|Agile|Self-organizing Team|Holacracy|Stories & Case Studies|Culture|Agile Culture|Teamwork|Architecture|Scrum|Culture Change|Agile Manager
492	Top 10 Lessons in Building a Distributed Engineering Team	Culture & Methods	Bruno Miranda Shane Hastie	Culture & Methods
493	Debugging Distributed Systems: Q&A with the “Squash” Microservice Debugger Creator Idit Levine	DevOps	Daniel Bryant	Development|DevOps|Debugging|Testing
494	Distributed Agile Leadership	Culture & Methods	John Okoro Shane Hastie	Culture & Methods|Leadership|Management|Distributed Team|Agile
495	Serverless Security: What's Left to Protect?	DevOps	Guy Podjarny Richard Seroter	Development|Architecture & Design|DevOps|Security|Serverless|Cloud Computing|Cloud Security|Cloud
496	Distributed Tracing: Exploring the Past, Present and Future with Dapper, Zipkin and LightStep [x]PM	DevOps	Daniel Bryant	Development|DevOps
497	Regression Testing Strategies: an Overview	Culture & Methods	Tatiana Bessonova Shane Hastie	Culture & Methods|Testing|Acceptance Testing|Automation|Software Testing|Test Automation
498	Growing an Innovative Culture	Culture & Methods	Ben Linders	Culture & Methods|Culture
499	Designing, Implementing, and Using Reactive APIs	Development	Paul Harris Ben Hale Victor Grazi	Development|Architecture & Design|Architecture|Java|API

500	Book Review: Developer, Advocate!	Development	Erik Costlow Geertjan Wielenga Jennifer Reif	Development|Architecture & Design|Culture & Methods|Neo4j|NoSQL|Culture|IDE|Graph Database|Database|Neo|Marketing|Java|InfoQ|Book Review|Netbeans
501	Q&A on the Book Quantum Leadership	Culture & Methods	Ben Linders Frederick Chavalit Tsao Chris Laszlo	Culture & Methods|Leadership|Culture|Business/IT Alignment|Enterprise Architecture|Business Value|Management|Mediation|Architecture|Mindfulness|InfoQ|Agile|Book Review
502	A Bottom-Up View of Kotlin Coroutines	Development	Garth Gilmour Eamonn Boyle Ben Evans	Development|Architecture & Design|Java Bytecode|Java|Kotlin|JVM Languages
503	Kubernetes Security: The State of the Union - a Virtual Panel	DevOps	Rags Srinivas Scott Coulton Liz Rice Gareth Rushgrove Maya Kaczorowski Kirsten Newcomer	Development|Architecture & Design|Culture & Methods|DevOps|Containers|Cloud Computing|Kubernetes|Cloud
504	Q&A on The Host Leadership Field Book	Culture & Methods	Mark McKergow Pierluigi Pugliese Ben Linders	Culture & Methods|Adaptive Leadership|Leadership|Servant Leadership|Teamwork|Team Collaboration|Collaboration|Distributed Team|InfoQ|Agile|Book Review|Stories & Case Studies
505	The Datum Data Binding Library	Development	Martin Rixham Dylan Schiemann	Development|Architecture & Design|JavaScript|Web Development|Dynamic Languages
506	Preparing Entity Framework Core for Static Analysis and Nullable Reference Types	Development	Jonathan Allen	Development|ADO.NET|Database|ORM|Microsoft|Code Analysis|Data Access|ADO.NET Entity Framework|.NET Core|Debugging|C# 8|Testing|.NET|Profilers
507	The Fundamental Truth behind Successful Development Practices: Software is Synthetic	Architecture & Design	John Rauser Charles Humble	Development|Architecture & Design|Chaos Engineering|Performance|Architecture|Monitoring|Resilience|Observability|application performance management
508	Q&A on the Book EDGE: Value-Driven Digital Transformation	Culture & Methods	Shane Hastie Jim Highsmith Linda Luu David Robinson	Culture & Methods|Adaptive Leadership|Leadership|Value & Metrics|Business Agility|Business/IT Alignment|Enterprise Architecture|Agile in the Enterprise|Architecture|Agile|Digital Transformation|Adopting Agile
509	Enterprise API Management: Q&A with Book Author Luis Weir	Development	Kent Weare Luis Augusto Weir	Development|Architecture & Design|API Strategy&Practice|SOA|Enterprise Architecture|ESB|API Gateway|Middleware|Architecture|InfoQ|Infrastructure|API-Design|Book Review|API
510	Candy Crush QA AI Saga	Culture & Methods	Alexander Andelkovic Ben Linders	Development|Culture & Methods|AI, ML & Data Engineering|Software Craftsmanship|Agile Conferences|Robotics|Artificial Intelligence|Automated testing|Agile|Quality|Automation|Stories & Case Studies
511	Q&A on the Book Creating your Dojo	Culture & Methods	Dion Stewart Joel Tosi Shane Hastie	Culture & Methods|learning|Training / Certification|Teaching
512	Programming Languages InfoQ Trends Report - October 2019	Development	Abel Avram Arthur Casals Dylan Schiemann Charles Humble Werner Schuster Dustin Schultz Ben Evans Jonathan Allen Daniel Bryant	Development|Architecture & Design|DevOps|C|InfoQ|Ruby|Programming Languages|System Programming|Dynamic Languages|Python|Functional Programming|Infrastructure as Code|Elixir|Go Language|InfoQ Trends Report|Swift|Erlang|Rust
513	What Is Account Creation Fraud? Complete Guide to Detection and Prevention	DevOps	Sam Bocetta Richard Seroter	Development|Architecture & Design|Fraud Detection|Information Security|Security|Application Security|Cloud
514	A Transformation Journey for a Distributed Development Organization	Culture & Methods	Burak Ilter Ben Linders	Culture & Methods|Agile Conferences|Scaled Agile framework|Agile at Scale|Distributed Team|Agile|Lean|SAFe|Stories & Case Studies
515	Product Goals, not Sprint Goals	Culture & Methods	Mahesh Krshnan Shane Hastie	Culture & Methods|Product Owner|Sprint Planning|Agile|Scrum|Sprint|Product Management
516	Top Picks for QCon 2019	Architecture & Design	Wesley Resiz	Development|Architecture & Design|QCon London 2019|QCon San Francisco 2019|QCon|QCon New York 2019
517	The Open Application Model from Alibaba’s Perspective	DevOps	Xiang Li Lei Zhang Richard Seroter	Development|Architecture & Design|Containers|alibaba|Cloud Computing|Kubernetes|Cloud
518	Getting to Know Deep Java Library (DJL)	Development	Kesha Williams Ben Evans	Development|Architecture & Design|AI, ML & Data Engineering|Deep Learning|IaaS|Amazon|Java|Machine Learning|Cloud Computing
519	How SwissLife France’s Enterprise Architects Used Lean to Raise Their Level of Influence	Culture & Methods	Christian Phan-Trong Pierre Marchand Ben Linders	Architecture & Design|Culture & Methods|Agile Conferences|Enterprise Architecture|Continuous Improvement|Architecture|Agile|Lean|Process|Stories & Case Studies
520	Key Takeaway Points and Lessons Learned from QCon San Fransisco 2019	Architecture & Design	Abel Avram Wesley Resiz Charles Humble	Development|Architecture & Design|QCon San Francisco 2019|QCon
521	Q&A on the Book Building Digital Experience Platforms	Culture & Methods	Ben Linders Shailesh Kumar Sourabhh Sethii	Architecture & Design|Culture & Methods|Software Development|Enterprise Architecture|Architecture|InfoQ|Integration|Book Review|Platforms|Digital Focus|API
522	The Future of Spring Cloud's Hystrix Project	Development	Rajesh Bhojwani Ben Evans	Development|Architecture & Design|Spring|Pivotal|Java|Cloud
523	How Structure, Process, and Rules Make People Free	Culture & Methods	Stephen Bungay Antoine Merour Ben Linders	Culture & Methods|Leadership|Culture|Teamwork|Trust|Agile|Scrum|Process|Self-organizing Team
524	Great People Deserve Great Managers: Managers Effectiveness Index at Kronos Incorporated	Culture & Methods	Shaaron A Alvares David Almeda	Culture & Methods|Culture
525	InfoQ Editors' Recommended Talks from 2019	Development	Charles Humble Ben Linders Arthur Casals Manuel Pais Erik Costlow Shane Hastie Shaaron A Alvares Srini Penchikala Michael Redlich Steef-Jan Wiggers Daniel Bryant Daniel Bryant	Development|Architecture & Design|Culture & Methods|DevOps|AI, ML & Data Engineering|Leadership|Ethics|Security|Jakarta EE|Java|Agile|System Programming|Chaos Engineering|DevSecOps|Architecture|Java EE|Rust|Resilience
526	InfoQ's 2019, and Software Predictions for 2020	Development	Charles Humble Erik Costlow Arthur Casals Daniel Bryant Bruno Couriol Ben Linders Shane Hastie Charles Humble	Development|Architecture & Design|Culture & Methods|DevOps|AI, ML & Data Engineering|Containers|Service Mesh|.NET|Augmented Reality|Quantum Computing|Architecture|Java|Microsoft|Microservices|Cloud Computing|Emerging Technologies|Kubernetes
527	Quarkus, a Kubernetes Native Java Framework, Reaches Version 1.0: Q&A with Thomas Qvarnstrom	Development	Diogo Carleto Thomas Qvarnstrom	Development|Architecture & Design|Vert.x|Java|Microservices|Cloud|Microservice Frameworks|Containers|MicroProfile|Architecture|Cloud Native Architecture|GraalVM|RedHat|Cloud Computing|Kubernetes
528	Author Q&A: The 4 Stages of Psychological Safety	Culture & Methods	Timothy R Clark Shane Hastie Shane Hastie	Culture & Methods|Teamwork|Team Collaboration|Collaboration|Psychological Safety|Distributed Team|Agile
529	The Evolution of Lean Thinking - Transitioning from Lean Thinking to FLOW Thinking	Culture & Methods	Nigel Thurlow Ben Linders	Culture & Methods|Toyota Production System|Agile Conferences|Agile Techniques|Kanban|Process Adoption|Agile in the Enterprise|Agile|Lean|Adopting Agile|Adoption
530	On Uncertainty, Prediction, and Planning	Culture & Methods	J Meadows Shane Hastie	Culture & Methods|Value & Metrics|Agile Estimation|Agile|Project Management|Planning
531	Did You Forget the Ops in DevOps?	DevOps	Kris Buytaert Manuel Pais	DevOps|Culture|Teamwork|Collaboration|Agile|Platforms
532	Using Kanban with Overbård to Manage Development of Red Hat JBoss EAP	Culture & Methods	Ben Linders Dimitris Andreadis	Culture & Methods|Agile Conferences|Agile Techniques|Kanban|Kanban Board|Jira|Agile|Complex Systems|Lean|Stories & Case Studies
533	Adoption of Cloud-Native Architecture, Part 1: Architecture Evolution and Maturity	DevOps	Srini Penchikala Marcio Esteves Richard Seroter	Development|Architecture & Design|Containers|Service Mesh|Architecture|Cloud Adoption|Cloud Native Architecture|Microservices|Serverless|Cloud Computing|Cloud
534	Q&A with Tyler Treat on Microservice Observability	DevOps	Tyler Treat Matt Campbell	DevOps|Performance|Architecture|Microservices|Monitoring|Observability|application performance management
535	Q&A on the Book Mastering Professional Scrum	Culture & Methods	Ben Linders Simon Reindl Stephanie Ockerman	Culture & Methods|Facilitation|Teamwork|Agile in the Enterprise|InfoQ|Training / Certification|Agile|Scrum Assessments|Scrum|Adopting Agile|Book Review|Agile Certification
536	Lessons Learned in Performance Testing	Culture & Methods	Jiří Holuša Ben Linders	Development|Culture & Methods|Performance|Agile Conferences|Performance Evaluation|Testing|Hazelcast|Software Testing|Load Testing|application performance management
537	Q&A on the Book Rebooting AI	Culture & Methods	Ben Linders Gary Marcus Ernest Davis	Culture & Methods|AI, ML & Data Engineering|Safety|Artificial Intelligence|InfoQ|Machine Learning|Book Review
538	Predicting Time to Cook, Arrive, and Deliver at Uber Eats	AI, ML & Data Engineering	Zi Wang Roland Meertens	Development|AI, ML & Data Engineering|Time Series Data|Machine Learning
539	13 Practices for Better Code Reviews	Culture & Methods	Mohammad Ali Bozorgzadeh Shane Hastie	Development|Culture & Methods|Teamwork|Code Reviews|Agile
540	Book Review: A Leader's Guide to Cybersecurity	Development	Erik Costlow	Development|Architecture & Design|Disaster Recovery|Communication|Security|Distributed Team|InfoQ|Agile|Book Review|Application Security
541	The Unicorn Project and the Five Ideals: Interview with Gene Kim	DevOps	Shaaron A Alvares Gene Kim	Culture & Methods|DevOps|Enterprise|Architecture|InfoQ|Scaling Agile|Agile|Book Review|DevOps Enterprise
542	How to Use Redis TimeSeries with Grafana for Real-Time Analytics	AI, ML & Data Engineering	Roshan Kumar Srini Penchikala	Development|Architecture & Design|AI, ML & Data Engineering|NoSQL|Redis|Data Analysis|Database|Real-Time Data|Data Visualization|Grafana|Key-Value Store|Real Time|Data Analytics
543	Q&A on the Book Team Topologies	Culture & Methods	Ben Linders Manuel Pais Matthew Skelton	Architecture & Design|Culture & Methods|DevOps|Software Craftsmanship|IT Service Management|Continuous Delivery|Automated Deployment|Agile Techniques|Delivering Value|InfoQ|Agile|Book Review|Teamwork|Collaboration|Architecture|Cloud Computing
544	Porting a Desktop Game Editor to the Browser with WebAssembly	Development	Bruno Couriol Florian Rival	Development|Architecture & Design|WebAssembly|Electron|Porting|Game Development|Emerging Technologies
545	Newly Announced Ecstasy Programming Language Targets Cloud-Native Computing	Development	Chris Swan Cameron Purdy Charles Humble	Development|Runtimes|Ecstasy language|Cloud
546	Q&A on the Book Change-Friendly Leadership	Culture & Methods	Ben Linders Rodger Dean Duncan	Culture & Methods|Leadership|Team Collaboration|Trust|Psychological Safety|InfoQ|Agile|Book Review|Culture|Teamwork|Collaboration|Distributed Team|Culture Change|Change
547	Testing Microservices: Six Case Studies with a Combination of Testing Techniques - Part 3	Architecture & Design	Wojciech Bulaty Liam Williams Daniel Bryant	Development|Architecture & Design|DevOps|IT Service Management|Mocking|Continuous Delivery|Automated Deployment|Agile Techniques|Acceptance Testing|Agile|Automated testing|Microservices|Testing|Architecture|Automation|Consumer-Driven Contracts|Cloud Computing
548	Q&A on the Book Agile Leadership Toolkit	Culture & Methods	Ben Linders Peter Koning	Culture & Methods|Leadership|Culture|Coaching and Mentoring|InfoQ|Agile|Culture Change|Agile Manager|Book Review
549	Agile and Late! End-to-End Delivery Metrics to Improve Your Predictability	Culture & Methods	Charlie Ponsonby Shane Hastie	Culture & Methods|Value & Metrics|Agile Estimation|NoEstimates|Agile|NoProjects|Project Management|Metrics|Planning
550	Java Feature Spotlight: Local Variable Type Inference	Development	Brian Goetz Ben Evans	Development|Type Inference|Java10|Java|JDK 10|JDK
551	DevOps and Cloud as Catalysts for Business Performance	DevOps	Shaaron A Alvares Nicole Forsgren	DevOps|Culture|Cloud Adoption|Automation|DevOps Enterprise|Cloud Computing|Cloud
552	Angular & ASP.NET Core 3.0 - Deep Dive	Development	Evgueni Tsygankov Jonathan Allen	Architecture & Design|.NET Core 3 Article Series|.NET Core|ASP.NET SPA|ASP.NET Core|.NET|Angular|Microsoft|ASP.NET
553	Q&A on the Book Thinking Remote	Culture & Methods	Ben Linders Pilar Orti Maya Middlemiss	Culture & Methods|Leadership|Teamwork|Team Collaboration|Collaboration|Psychological Safety|Distributed Team|InfoQ|Agile|Book Review|Remote Developer
554	Containers in 2019: They're Calling it a [Hypervisor] Comeback	DevOps	Phil Estes Daniel Bryant	Architecture & Design|DevOps|Runtimes|Containers|IaaS|Infrastructure|Virtualization|Hypervisor|Virtual Machines|Cloud Computing|Kubernetes|Cloud
555	Categorise Unsolved Problems in Agile Development: Premature & Foreseeable	Culture & Methods	Bas Groot Shane Hastie	Architecture & Design|Culture & Methods|Software Craftsmanship|Agile Architecture|Architecture|Technical Debt|Agile|Design|Emergent Architecture
556	Q&A on the Book: The Technology Takers – Leading Change in the Digital Era	Culture & Methods	Ben Linders Jens Flanding Genevieve Grabman Sheila Cox	Culture & Methods|Business/IT Alignment|Enterprise Architecture|Architecture|InfoQ|Digital Transformation|Innovation|Technology|Book Review|Change
557	Using Docker Application Packages to Deliver Apps across Teams	DevOps	Karthikeyan Shanmugam Richard Seroter	Development|DevOps|Containers|Distributed Systems|Architecture|Docker|Cloud Computing|Cloud
558	The Current and Future State of Testing: a Conversation with Lisa Crispin	Culture & Methods	Xiaoqian Geng Lisa Crispin Shane Hastie	Development|Culture & Methods|Regression Testing|Testing|Unit Testing|Acceptance Testing|Agile in the Enterprise|Agile|Agile Test|Adopting Agile
559	SLOs Are the API for Your Engineering Team	DevOps	Charity Majors Manuel Pais	DevOps|SOA|SLA|Enterprise Architecture|Architecture|Business Process Management|Resilience|Site Reliability Engineering|API
560	Psychological Safety: Models and Experiences	Culture & Methods	Fabio Armani Giulia Armani Ben Linders	Culture & Methods|Leadership|Agile Conferences|Applied Research|Agile Culture|Teamwork|Team Collaboration|Collaboration|Psychological Safety|Distributed Team|Agile
561	A First Look at Java Inline Classes	Development	Ben Evans Charles Humble	Development|Performance|Applications|Benchmark|Project Valhalla|Java|Value Types|JDK|Open JDK|Platforms
562	Velocity and Better Metrics: Q&A with Doc Norton	Culture & Methods	Ben Linders Doc Norton	Culture & Methods|IT Service Management|Agile Conferences|Continuous Delivery|Automated Deployment|Agile Techniques|Java|Agile|Measurement|Java Web Frameworks|Velocity|Simulation|Cloud Computing
563	Three Major Cybersecurity Pain Points to Address for Improved Threat Defense	Architecture & Design	Jonathan Zhang Thomas Betts	Development|Architecture & Design|Threats|Information Security|Security|Risk Management|Security Assessment|Security Vulnerabilities|Threat Modeling
564	Q&A on the Book Real-World Bug Hunting	Culture & Methods	Ben Linders Peter Yaworski	Development|Culture & Methods|Ethics|HTML|Markup Languages|Database|Security|Java|InfoQ|Web Development|Relational Databases|Book Review|FindBugs|Bugs and Hotfixes|Debugging|Testing|SQL|Security Vulnerabilities
565	Q&A on the Book Impact: 21st Century Change Management, Behavioral Science, and the Future of Work	Culture & Methods	Ben Linders Paul Gibbons	Culture & Methods|Leadership|Enterprise Architecture|InfoQ|Agile|Book Review|Remuneration and Incentives|Culture|Human Resources|Business/IT Alignment|Architecture|Digital Transformation|Culture Change|Change
566	Using C# 8 and Nullable Reference Types in .NET Framework	Development	Jonathan Allen	Development|C# 8|.NET|.NET Framework|Microsoft
567	Author Q&A on the Book Software Estimation Without Guessing	Culture & Methods	Shane Hastie George Dinwiddie	Development|Architecture & Design|Culture & Methods|Value & Metrics|Agile Estimation|Estimating|InfoQ|Agile|Book Review|Project Management|Planning
568	Building Intelligent Conversational Interfaces	AI, ML & Data Engineering	Kaushik Rangadurai Mitul Tiwari Srini Penchikala	Development|Architecture & Design|AI, ML & Data Engineering|Natural Language Processing|Artificial Intelligence|Machine Learning|ChatBots
569	Liberating Structures - an Antidote to Zombie Scrum	Culture & Methods	Barry Overeem Johannes Schartau Christiaan Verwijs Ben Linders	Culture & Methods|Coaching and Mentoring|Antipatterns|Frameworks|Agile in the Enterprise|Architecture|Patterns|Agile|Scrum|Adopting Agile
570	Improving Security Practices in the Cloud Age: Q&A With Christopher Gerg	DevOps	Richard Seroter Richard Seroter	Architecture & Design|DevOps|Security|DevSecOps|Application Security|Cloud Computing|Cloud Security|Cloud
571	Agile Coaching Around Conflict Management	Culture & Methods	Deepti Sinha Shane Hastie	Culture & Methods|Coaching|Coaching and Mentoring|Teamwork|Agile
572	Using the .Net Core Template Engine to Create Custom Templates and Projects	Development	Matt Ellis Chris Woodruff	Development|.NET Core 3 Article Series|.NET Core|.NET|Microsoft
573	Scrum: The Art of Changing the Possible	Culture & Methods	Shaaron A Alvares J.J. Sutherland	Culture & Methods|Leadership|Agile Conferences|Agile Culture|Architecture|InfoQ|Patterns|Agile|Scrum|Book Review
574	Programming Languages InfoQ Trends Report - October 2019	Development	Abel Avram Arthur Casals Dylan Schiemann Charles Humble Werner Schuster Dustin Schultz Ben Evans Jonathan Allen Daniel Bryant	Development|Architecture & Design|DevOps|C|InfoQ|Ruby|Programming Languages|System Programming|Dynamic Languages|Python|Functional Programming|Infrastructure as Code|Elixir|Go Language|InfoQ Trends Report|Swift|Erlang|Rust
575	Q&A on the Book Managing Technical Debt	Culture & Methods	Ben Linders Philippe Kruchten Robert Nord Ipek Ozkaya	Development|Culture & Methods|Software Craftsmanship|Business/IT Alignment|Enterprise Architecture|Business Value|Delivering Value|Architecture|InfoQ|Technical Debt|Agile|Measurement|Book Review
576	The Why, How, and What of Three Industry-Oriented IoT Projects: Highlights from WebExpo 2019	Development	Bruno Couriol Tomáš Morava	Development|Architecture & Design|DevOps|Hardware|Infrastructure|Automation|IOT|Emerging Technologies
577	Q&A on the Book Engineering the Digital Transformation	Culture & Methods	Ben Linders Gary Gruver	Culture & Methods|Business/IT Alignment|Enterprise Architecture|Continuous Improvement|Management|Architecture|InfoQ|Agile|Lean|Digital Transformation|Book Review|Software Engineering
578	Postgres Handles More Than You Think	AI, ML & Data Engineering	Jason Skowronski Roland Meertens	Development|Architecture & Design|DevOps|AI, ML & Data Engineering|NoSQL|Heroku|PaaS|Redis|Database|Postgres|Relational Databases|Key-Value Store|Cloud Computing
579	Single Page Applications and ASP.NET Core 3.0	Development	Shawn Wildermuth Charles Humble	Development|.NET Core 3 Article Series|.NET Core|.NET|Microsoft|Web Development|ASP.NET
580	How to Tell Compelling Stories Using Data: Q&A with Dr. Christine Bailey	Culture & Methods	Ben Linders Christine Bailey	Culture & Methods|AI, ML & Data Engineering|Ethics|Agile Conferences|Agile|Data|Women in Technology|Stories & Case Studies|Change
581	Testing Microservices: Examining the Tradeoffs of Twelve Techniques - Part 2	Architecture & Design	Wojciech Bulaty Liam Williams Daniel Bryant	Development|Architecture & Design|Testing|Architecture|Automated testing|Microservices|Automation|Test Automation
582	Q&A on the Book Level up Agile with Toyota Kata	Culture & Methods	Ben Linders Jesper Boeg	Culture & Methods|Coaching and Mentoring|Assessment|Continuous Improvement|InfoQ|Kata|Agile|Scrum|Book Review|Retrospectives
583	Article Series - .NET Core 3	Development	Chris Woodruff Charles Humble	Development|.NET Core 3 Article Series|.NET Core|Mono|.NET|Article Series|Microsoft|ASP.NET
584	Q&A with Cyrille Martraire on the Book Living Documentation	Architecture & Design	Jan Stenberg Cyrille Martraire	Development|Architecture & Design|Architecture Documentation|Documentation|Architecture|InfoQ|Book Review
585	Q&A on the Book The Driver in the Driverless Car	Culture & Methods	Ben Linders Vivek Wadhwa Alex Salkever	Culture & Methods|Robotics|Quantum Computing|InfoQ|autonomous vehicles|Machine Learning|Technology|Book Review|Emerging Technologies
586	Implementing Policies in Kubernetes	DevOps	Karthikeyan Shanmugam Richard Seroter	Architecture & Design|DevOps|Containers|Security|Architecture|Cloud Computing|Kubernetes|Cloud
